Benchmark,Agent,Model,Status,Acc,Cost,Note,,,,,,
colbench-backend,Colbench Agent,o4-mini-2025-04-16-high,Uploaded,32.8,27,,,,,,,
colbench-backend,Colbench Agent,claude-3-7-sonnet-20250219-thinking-low,Uploaded,36.7,21,,,,,,,
colbench-backend,Colbench Agent,claude-3-7-sonnet-20250219-thinking-high,Uploaded,37.4,34,,,,,,,
colbench-backend,Colbench Agent,gemini-2.0-flash,Uploaded,32.9,6,,,,,,,
colbench-backend,Colbench Agent,deepseek-ai/DeepSeek-V3,Uploaded,23.3,2,,,,,,,
colbench-backend,Colbench Agent,deepseek-ai/DeepSeek-R1,Uploaded,18.9,4,,,,,,,
colbench-backend,Colbench Agent,gemini-2.5-pro-preview-03-25,Error,,,,,,,,,
colbench-backend,Colbench Agent,o3-2025-04-16,Uploaded,32.2,75.4,,,,,,,
colbench-frontend,Colbench Agent,gpt-4.1-2025-04-14,Uploaded,82,10.6,,,,,,,
colbench-frontend,Colbench Agent,o4-mini-2025-04-16-low,Uploaded,81,6.2,,,,,,,
colbench-frontend,Colbench Agent,o4-mini-2025-04-16-high,Uploaded,83.3,14.6,,,,,,,
colbench-frontend,Colbench Agent,claude-3-7-sonnet-20250219-thinking-low,Uploaded,83.7,71.3,,,,,,,
colbench-frontend,Colbench Agent,claude-3-7-sonnet-20250219,Uploaded,,,,,,,,,
colbench-frontend,Colbench Agent,claude-3-7-sonnet-20250219-thinking-high,Uploaded,81.5,52.7,,,,,,,
colbench-frontend,Colbench Agent,gemini-2.0-flash,Uploaded,81.6,2.7,,,,,,,
colbench-frontend,Colbench Agent,deepseek-ai/DeepSeek-V3,Uploaded,74.9,0.9,,,,,,,
colbench-frontend,Colbench Agent,deepseek-ai/DeepSeek-R1,Uploaded,74.9,0.85,,,,,,,
colbench-frontend,Colbench Agent,gemini-2.5-pro-preview-03-25,Uploaded,81.6,212.3,,,,,,,
colbench-frontend,Colbench Agent,o3-2025-04-16,Uploaded,80.8,76.9,,,,,,,
ScienceAgentBench,SAB Example Agent,gemini-2.0-flash,Uploaded,0.127451,0.193266,,,,,,,
ScienceAgentBench,SAB Example Agent,gemini-2.5-pro-preview-03-25,Uploaded,0.186275,11.198726,,,,,,,
ScienceAgentBench,SAB Example Agent,claude-3-7-sonnet-20250219,Uploaded,0.22549,7.118316,,,,,,,
ScienceAgentBench,SAB Example Agent,claude-3-7-sonnet-20250219-thinking-low,Uploaded,0.254902,6.564069,,,,,,,
ScienceAgentBench,SAB Example Agent,claude-3-7-sonnet-20250219-thinking-high,Uploaded,0.303922,11.742204,,,,,,,
ScienceAgentBench,SAB Example Agent,deepseek-ai/DeepSeek-V3,Uploaded,0.156863,2.090448,,,,,,,
ScienceAgentBench,SAB Example Agent,deepseek-ai/DeepSeek-R1,Uploaded,0.235294,18.242402,,,,,,,
ScienceAgentBench,SAB Example Agent,gpt-4.1-2025-04-14,Uploaded,0.245098,7.41574,,,,,,,
ScienceAgentBench,SAB Example Agent,o4-mini-2025-04-16-low,Uploaded,0.27451,3.954438,,,,,,,
ScienceAgentBench,SAB Example Agent,o4-mini-2025-04-16-high,Uploaded,0.27451,11.178193,,,,,,,
ScienceAgentBench,SAB Example Agent,o3-2025-04-16,Uploaded,0.333333,58.44018,,,,,,,
ScienceAgentBench,HAL Generalist Agent,o4-mini-2025-04-16-high,Uploaded,0.215686,76.304679,,,,,,,
ScienceAgentBench,HAL Generalist Agent,o4-mini-2025-04-16-low,Uploaded,0.196078,77.319009,,,,,,,
ScienceAgentBench,HAL Generalist Agent,gpt-4.1-2025-04-14,Uploaded,0.068627,68.953348,,,,,,,
ScienceAgentBench,HAL Generalist Agent,deepseek-ai/DeepSeek-V3,Uploaded,0.009804,55.732075,,,,,,,
ScienceAgentBench,HAL Generalist Agent,o3-2025-04-16,Uploaded,0.098039,155.4183,,,,,,,
ScienceAgentBench,HAL Generalist Agent,claude-3-7-sonnet-20250219-thinking-high,Uploaded,0.176471,48.279636,,,,,,,
ScienceAgentBench,HAL Generalist Agent,claude-3-7-sonnet-20250219,Uploaded,0.107843,41.219199,,,,,,,
corebench_hard,CORE-Agent,gpt-4.1-2025-04-14,Uploaded,0.3333333333,107.360036,,,,,,,
corebench_hard,CORE-Agent,deepseek-ai/DeepSeek-V3,Uploaded,0.1777777778,25.25934,,,,,,,
corebench_hard,CORE-Agent,claude-3-7-sonnet-20250219,Uploaded,0.3555555556,73.0401705,,,,,,,
corebench_hard,CORE-Agent,gemini-2.0-flash,Uploaded,0.1111111111,12.4607438,,,,,,,
corebench_hard,CORE-Agent,gemini-2.5-pro-preview-03-25,Uploaded,0.2222222222,182.3376875,,,,,,,
corebench_hard,CORE-Agent,o4-mini-2025-04-16-low,Uploaded,0.1777777778,31.7882798,,,,,,,
corebench_hard,CORE-Agent,o4-mini-2025-04-16-high,Uploaded,0.2666666667,61.3511686,,,,,,,
corebench_hard,CORE-Agent,o3-2025-04-16,Uploaded,0.2444444444,602.36698,,,,,,,
corebench_hard,CORE-Agent,claude-3-7-sonnet-20250219-thinking-low,Uploaded,0.3333333333,75.191293,,,,,,,
corebench_hard,CORE-Agent,claude-3-7-sonnet-20250219-thinking-high,Uploaded,0.244444,72.466517,,,,,,,
corebench_hard,CORE-Agent,deepseek-ai/DeepSeek-R1,Uploaded,0.08888888889,127.565503,,,,,,,
corebench_hard,HAL Generalist Agent,gpt-4.1-2025-04-14,Uploaded,0.1333333333,54.607752,,,,,,,
corebench_hard,HAL Generalist Agent,deepseek-ai/DeepSeek-V3,Uploaded,0.08888888889,18.5000425,,,,,,,
corebench_hard,HAL Generalist Agent,claude-3-7-sonnet-20250219,Error,,,,,,,,,
corebench_hard,HAL Generalist Agent,gemini-2.0-flash,Uploaded,0.06666666667,17.6822214,,,,,,,
corebench_hard,HAL Generalist Agent,gemini-2.5-pro-preview-03-25,Uploaded,0.04444444444,30.3768125,,,,,,,
corebench_hard,HAL Generalist Agent,o4-mini-2025-04-16-low,Uploaded,0.1555555556,21.7963834,,,,,,,
corebench_hard,HAL Generalist Agent,o4-mini-2025-04-16-high,Uploaded,0.2444444444,50.2795304,,,,,,,
corebench_hard,HAL Generalist Agent,o3-2025-04-16,Uploaded,0.1555555556,123.50166,,,,,,,
corebench_hard,HAL Generalist Agent,claude-3-7-sonnet-20250219-thinking-low,Error,,,,,,,,,
corebench_hard,HAL Generalist Agent,claude-3-7-sonnet-20250219,Uploaded,,,,,,,,,
corebench_hard,HAL Generalist Agent,claude-3-7-sonnet-20250219-thinking-high,Error,,,,,,,,,
corebench_hard,HAL Generalist Agent,deepseek-ai/DeepSeek-R1,Uploaded,0.06666666667,47.096622,,,,,,,
scicode,SciCode Tool Calling,gpt-4.1-2025-04-14,Uploaded,0.015,69,,,,,,,
scicode,SciCode Tool Calling,o4-mini-2025-04-16-medium,Uploaded,0.03,56,,,,,,,
scicode,SciCode Tool Calling,o4-mini-2025-04-16-low,Uploaded,0.05,46,,,,,,,
scicode,SciCode Tool Calling,o4-mini-2025-04-16-high,Uploaded,0.05,66,,,,,,,
scicode,SciCode Tool Calling,o3-2025-04-16,Uploaded,0.09,556,,,,,,,
scicode,SciCode Tool Calling,claude-3-7-sonnet-20250219,Uploaded,0.03,191,,,,,,,
scicode,SciCode Tool Calling,gemini-2.0-flash,Uploaded,0.015,5.2,,,,,,,
scicode,SciCode Tool Calling,deepseek-ai/DeepSeek-V3,Uploaded,0,52,,,,,,,
scicode,Scicode Zero Shot,gpt-4.1-2025-04-14,Uploaded,0.06,2.8,,,,,,,
scicode,Scicode Zero Shot,o4-mini-2025-04-16-medium,Uploaded,0.06,2.7,,,,,,,
scicode,Scicode Zero Shot,o4-mini-2025-04-16-low,Uploaded,0.09,1.74,,,,,,,
scicode,Scicode Zero Shot,o4-mini-2025-04-16-high,Uploaded,0.06,5.4,,,,,,,
scicode,Scicode Zero Shot,o3-2025-04-16,Uploaded,0.05,30,,,,,,,
scicode,Scicode Zero Shot,claude-3-7-sonnet-20250219,Uploaded,0,5.1,,,,,,,
scicode,Scicode Zero Shot,gemini-2.0-flash,Uploaded,0.015,0.12,,,,,,,
scicode,Scicode Zero Shot,deepseek-ai/DeepSeek-V3,Uploaded,0.03,0.79,,,,,,,
scicode,HAL Generalist Agent,gpt-4.1-2025-04-14,Uploaded,0.02,73,,,,,,,
scicode,HAL Generalist Agent,o4-mini-2025-04-16-medium,Uploaded,0.02,87,,,,,,,
scicode,HAL Generalist Agent,o4-mini-2025-04-16-low,Uploaded,0.06,165,,,,,,,
scicode,HAL Generalist Agent,o4-mini-2025-04-16-high,Uploaded,0.02,92,,,,,,,
scicode,HAL Generalist Agent,o3-2025-04-16,Uploaded,0.06,291,,,,,,,
scicode,HAL Generalist Agent,claude-3-7-sonnet-20250219,Uploaded,0.03,60,,,,,,,
scicode,HAL Generalist Agent,gemini-2.0-flash,Uploaded,0.00,61,,,,,,,
scicode,HAL Generalist Agent,deepseek-ai/DeepSeek-V3,Uploaded,0.00,219,,,,,,,
corebench_hard,HAL Generalist Agent,gpt-4.1-2025-04-14,Not done,,,,,,,,,
corebench_hard,HAL Generalist Agent,deepseek-ai/DeepSeek-V3,Not done,,,,,,,,,
corebench_hard,HAL Generalist Agent,claude-3-7-sonnet-20250219,Not done,,,,,,,,,
corebench_hard,HAL Generalist Agent,gemini-2.0-flash,Not done,,,,,,,,,
corebench_hard,HAL Generalist Agent,gemini-2.5-pro-preview-03-25,Not done,,,,,,,,,
corebench_hard,HAL Generalist Agent,o4-mini-2025-04-16-low,Not done,,,,,,,,,
corebench_hard,HAL Generalist Agent,o4-mini-2025-04-16-high,Not done,,,,,,,,,
corebench_hard,HAL Generalist Agent,o3-2025-04-16,Not done,,,,,,,,,
corebench_hard,HAL Generalist Agent,claude-3-7-sonnet-20250219-thinking-low,Not done,,,,,,,,,
corebench_hard,HAL Generalist Agent,claude-3-7-sonnet-20250219-thinking-high,Not done,,,,,,,,,
corebench_hard,HAL Generalist Agent,deepseek-ai/DeepSeek-R1,Not done,,,,,,,,,
assistantbench,Assistantbench Browsing Agent,gpt-4.1-2025-04-14,Uploaded,0.17,14,,,,,,,
assistantbench,Assistantbench Browsing Agent,o4-mini-2025-04-16-medium,Uploaded,0.24,13,,,,,,,
assistantbench,Assistantbench Browsing Agent,o4-mini-2025-04-16-low,Uploaded,0.28,9,,,,,,,
assistantbench,Assistantbench Browsing Agent,o4-mini-2025-04-16-high,Uploaded,0.24,16,,,,,,,
assistantbench,Assistantbench Browsing Agent,o3-2025-04-16,Uploaded,0.47,60,,,,,,,
assistantbench,Assistantbench Browsing Agent,claude-3-7-sonnet-20250219,Uploaded,0.17,56,,,,,,,
assistantbench,Assistantbench Browsing Agent,gemini-2.0-flash,Uploaded,0.02,0,,,,,,,
assistantbench,Assistantbench Browsing Agent,deepseek-ai/DeepSeek-R1,Uploaded,,,,,,,,,
assistantbench,Assistantbench Browsing Agent,claude-3-7-sonnet-20250219-thinking-high,Uploaded,,,,,,,,,
assistantbench,Assistantbench Browsing Agent,deepseek-ai/DeepSeek-V3,Uploaded,0.02,13,,,,,,,
assistantbench,HAL Generalist Agent,gpt-4.1-2025-04-14,Uploaded,0.29,11,,,,,,,
assistantbench,HAL Generalist Agent,o4-mini-2025-04-16-medium,Uploaded,0.21,6,,,,,,,
assistantbench,HAL Generalist Agent,o4-mini-2025-04-16-low,Uploaded,0.16,2.1,,,,,,,
assistantbench,HAL Generalist Agent,o4-mini-2025-04-16-high,Uploaded,0.22,8,,,,,,,
assistantbench,HAL Generalist Agent,o3-2025-04-16,Uploaded,0.31,31,,,,,,,
assistantbench,HAL Generalist Agent,claude-3-7-sonnet-20250219-thinking-high,Uploaded,,,,,,,,,
assistantbench,HAL Generalist Agent,claude-3-7-sonnet-20250219,Uploaded,0.18,10,,,,,,,
assistantbench,HAL Generalist Agent,gemini-2.0-flash,Uploaded,0.14,1.4,,,,,,,
assistantbench,HAL Generalist Agent,deepseek-ai/DeepSeek-R1,Uploaded,,,,,,,,,
assistantbench,HAL Generalist Agent,deepseek-ai/DeepSeek-V3,Uploaded,0.38,4,,,,,,,
colbench-backend,HAL Generalist Agent,gpt-4.1-2025-04-14,Uploaded,0.359,143.3,,,,,,,
colbench-backend,HAL Generalist Agent,o4-mini-2025-04-16-low,Uploaded,0.289,110.6,,,,,,,
colbench-backend,HAL Generalist Agent,o4-mini-2025-04-16-high,Uploaded,0.304,138.1,,,,,,,
colbench-backend,HAL Generalist Agent,claude-3-7-sonnet-20250219,Uploaded,0.437,202.3,,,,,,,
colbench-backend,HAL Generalist Agent,gemini-2.0-flash,Error,,,,,,,,,
colbench-backend,HAL Generalist Agent,deepseek-ai/DeepSeek-V3,Uploaded,0.345,53.3,,,,,,,
colbench-backend,HAL Generalist Agent,deepseek-ai/DeepSeek-R1,Uploaded,0.296,204.8,,,,,,,
colbench-backend,HAL Generalist Agent,gemini-2.5-pro-preview-03-25,Error,,,,,,,,,
colbench-backend,HAL Generalist Agent,o3-2025-04-16,Uploaded,0.25,1299.3,,,,,,,
colbench-frontend,HAL Generalist Agent,gpt-4.1-2025-04-14,Uploaded,0.722,15.7,,,,,,,
colbench-frontend,HAL Generalist Agent,o4-mini-2025-04-16-low,Uploaded,0.721,20.6,,,,,,,
colbench-frontend,HAL Generalist Agent,o4-mini-2025-04-16-high,Uploaded,0.707,29.43475,,,,,,,
colbench-frontend,HAL Generalist Agent,claude-3-7-sonnet-20250219,Uploaded,0.693,104.8,,,,,,,
colbench-frontend,HAL Generalist Agent,gemini-2.0-flash,Error,,,,,,,,,
colbench-frontend,HAL Generalist Agent,deepseek-ai/DeepSeek-V3,Uploaded,0.713,11.08,,,,,,,
colbench-frontend,HAL Generalist Agent,deepseek-ai/DeepSeek-R1,Uploaded,0.57,32.3,,,,,,,
colbench-frontend,HAL Generalist Agent,gemini-2.5-pro-preview-03-25,Error,,,,,,,,,
colbench-frontend,HAL Generalist Agent,o3-2025-04-16,Uploaded,0.654,194,,,,,,,
Online-Mind2Web,Browser-Use,deepseek-ai/DeepSeek-V3,Uploaded,32.3,214.7,,,,,,,
Online-Mind2Web,Browser-Use,deepseek-ai/DeepSeek-R1,Uploaded,25.3,280.9,,,,,,,
Online-Mind2Web,Browser-Use,claude-3-7-sonnet-20250219,Uploaded,38.3,926.5,,,,,,,
Online-Mind2Web,Browser-Use,claude-3-7-sonnet-20250219-thinking-high,Error,,,,,,,,,
Online-Mind2Web,Browser-Use,o4-mini-2025-04-16-low,Uploaded,31.7,162.4,,,,,,,
Online-Mind2Web,Browser-Use,o4-mini-2025-04-16-high,Uploaded,20,297.9,,,,,,,
Online-Mind2Web,Browser-Use,gpt-4.1-2025-04-14,Uploaded,36.3,236.6,,,,,,,
Online-Mind2Web,Browser-Use,o3-2025-04-16,Uploaded,29,1857.9,,,,,,,
Online-Mind2Web,Browser-Use,gemini-2.0-flash,Error,,,,,,,,,
Online-Mind2Web,Browser-Use,gemini-2.5-pro-preview-03-25,Error,,,,,,,,,
Online-Mind2Web,SeeAct,claude-3-7-sonnet-20250219,Uploaded,28.3,292,,,,,,,
Online-Mind2Web,SeeAct,claude-3-7-sonnet-20250219-thinking-high,Not done,,,,,,,,,
Online-Mind2Web,SeeAct,o4-mini-2025-04-16-low,Uploaded,31.7,162.4,,,,,,,
Online-Mind2Web,SeeAct,o4-mini-2025-04-16-high,Uploaded,32,229,,,,,,,
Online-Mind2Web,SeeAct,gpt-4.1-2025-04-14,Uploaded,30.3,271.2,,,,,,,
Online-Mind2Web,SeeAct,o3-2025-04-16,Uploaded,39,1293.7,,,,,,,
Online-Mind2Web,SeeAct,gemini-2.0-flash,Not done,,,,,,,,,
Online-Mind2Web,SeeAct,gemini-2.5-pro-preview-03-25,Not done,,,,,,,,,
Appworld,,,,,,,,,,,,
CVE-bench,,,,,,,,,,,,
Cybench,,,,,,,,,,,,
ELT-bench,,,,,,,,,,,,
Online-Mind2Web,SeeAct,gemini-2.5-pro-preview-03-25,Uploaded,39.6,153.61,,,,,,,
Online-Mind2Web,SeeAct,claude-3-7-sonnet-20250219-thinking-high,Uploaded,30.3,367.5,,,,,,,
